127.0.0.1 - - [25/Feb/2017:15:14:14 -0600] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/Feb/2017:15:14:15 -0600] "GET /jspdemp/helloworld.jsp HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [25/Feb/2017:15:14:54 -0600] "GET /jspdemp/helloworld.jsp HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [25/Feb/2017:15:21:05 -0600] "GET /jspdemp/expression-test.jsp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Feb/2017:15:21:32 -0600] "GET /jspdemp/expression-test.jsp HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [25/Feb/2017:15:23:33 -0600] "GET /jspdemp/expression-test.jsp HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [25/Feb/2017:15:23:36 -0600] "GET /jspdemp/expression-test.jsp HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [25/Feb/2017:15:23:54 -0600] "GET /jspdemp/expression-test.jsp HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [25/Feb/2017:15:25:35 -0600] "GET /jspdemp/helloworld.jsp HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [25/Feb/2017:15:25:35 -0600] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [25/Feb/2017:15:38:09 -0600] "GET /jspdemp/helloworld.jsp HTTP/1.1" 200 110
